"Sample","Treatment","Corynebacteriales","Burkholderiales","Propionibacteriales","Acidithiobacillales","Acidobacteriales","Acidothermales","Pseudomonadales","Pseudonocardiales","Streptosporangiales","Micromonosporales","Rhizobiales","Xanthomonadales","Sphingomonadales","Myxococcales","Chitinophagales","Caulobacterales","Bifidobacteriales","Geodermatophilales","Caldilineales","Calditrichales","Nitrospirales","Ardenticatenales","Bryobacterales","Catenulisporales","Chloroflexales","Solirubrobacterales","Deinococcales","Opitutales","Fimbriimonadales","Frankiales","Planctomycetales","Gemmatimonadales","Gloeobacterales","Immundisolibacterales","Jiangellales","Kineosporiales","Streptomycetales","Limnochordales","Sphingobacteriales","Nakamurellales","Phycisphaerales","Bacteroidetes_Order_II","Rubrobacterales","Sedimentisphaerales","Sphaerobacterales","Glycomycetales","xylose","vanillic.acid","glucose","fucose","benzoic.acid","X4.hydroxybenzoic.acid","X3.6.anhydro.D.galactose"
"b1","b-Old",23211228.3747889,36882937.8134941,4667197.80289267,191009.752512763,9647061.09747771,115606.67324163,10322686.6468899,6882829.91587172,3195807.82771287,6268094.62342948,172272678.095145,5979072.29250329,8826910.53306366,9493830.22480156,910224.918064532,2569681.38040137,426695.287102676,899817.898042905,203122.645437844,131661.918351557,1822410.73943815,111662.500644243,6499415.84552961,427273.675322928,552664.730515365,1864438.97705503,1145577.80736698,2312521.54855258,312057.969456888,2153115.00784553,10219566.8073791,1866804.17013092,453979.25541798,181831.438708051,543277.2609916,151902.034912011,22345880.6623447,144757.696802444,604834.445349472,564654.64478066,160869.051804625,620584.181065076,354144.162533339,40731.6138240585,356977.613688536,189841.943372141,31861,2639,6633,15595,33116,25223,672
"b2","b-Old",29305243.3061188,36605706.5730321,5159434.94485015,174902.946104022,8146145.11284856,102082.005873225,10956520.4805546,7104562.94213222,2944957.44355092,6858358.10955267,161437909.962348,6040819.08511393,8956838.32554679,10367708.1557917,894660.015153918,2647141.70409298,443943.140905589,962569.429154356,173600.20609758,126104.303640506,1985969.16419191,117461.685100721,6314776.36824829,414122.212038902,569580.917385358,2385965.25236302,1184693.2894952,2427859.14684543,306924.129814808,2104017.99687357,12430060.354805,2154404.30377772,456317.666697852,159152.706482333,603171.927968017,148317.759435808,22973714.1559475,144570.322691482,541972.910774164,580402.509348011,178607.224453546,632499.646942075,392332.4176781,41131.4573522978,372250.021385871,188855.378772227,27450,1193,11803,17328,33656,14213,1093
"b3","b-Old",27762017.192102,35139177.30368,5758269.52387522,190040.143295912,9087028.18781958,144321.936672854,10768832.137997,8162918.17642633,3982259.47484442,7654722.42617725,149993614.572617,6650991.98428115,8826763.28430595,9418072.18735204,683862.147569144,2719483.80396203,443655.920698857,1119242.60975814,180072.420559302,148354.926587358,1726975.76518217,123863.824620814,6287691.75562946,553505.143146149,572542.485117581,2477210.01900903,1134411.73208542,2339419.70738515,310489.305944299,2500494.61393151,9963345.12668449,2272405.98755454,443240.424352835,168306.116703063,644049.822687143,161471.624442707,26357616.442754,162657.762077331,530499.316414257,669306.121420384,159791.763769829,637103.22221547,428914.711654609,37270.3390154323,356979.577023579,228907.526326043,25446,1228,7628,12589,33202,15729,872
"b4","b-New",33288043.3375878,39486397.0375813,8368131.54288757,176491.436340604,5426923.49408306,128363.990897924,10158481.6066739,8820900.1754443,3249825.83833982,7655176.20309206,167045670.731427,6535656.35905855,8996496.00980494,11001816.3612038,1079907.49321566,2661651.11679653,500385.258111342,1148909.19609329,226842.303724737,155318.067196478,1916726.28027928,116042.127256595,4228137.46725393,478499.405701208,585492.101686893,2891759.38365597,1322647.20959695,2821213.15944501,307864.367562284,2529274.88359097,10265496.9713285,1689992.27035509,458064.343329932,190482.45648271,706195.73677359,177566.03764727,26992128.3954955,157654.85087897,664229.152409497,1033918.40653991,204187.950268376,667017.086305521,456779.502250145,46021.5365512885,393251.950713234,232760.588771891,33219,2797,13784,16677,69710,19713,709
"b5","b-New",34654929.8106402,40385201.3544559,9180612.83435774,191885.497608352,6322004.74343523,147101.554067717,10666206.2173456,9357579.18173131,3604827.52467013,8559574.66918228,162262903.324902,7556070.65208301,9418737.15161961,11627210.0681816,1204859.08896797,2921878.0344431,523966.238480734,1263395.57894045,233114.670092267,167176.233991026,1892569.12194258,142763.445488578,4548035.82714645,569821.537609389,603706.942448588,3661898.5287794,1379476.59319435,3169197.06119029,349612.629922404,2847040.78166178,10617977.8372751,1774996.83378892,504114.795648711,179969.940429148,795766.97862624,194156.898398585,29752769.1911901,192728.261551611,710390.219357225,1168443.67158739,217082.64955145,743372.476940371,504493.907951846,44165.3145828738,406230.195950616,256188.268932857,28895,2852,11948,14725,42606,33683,1009
"b6","b-New",39313302.5565582,41217609.2069819,10321886.4774033,187390.984504879,5570711.79350329,164033.786871628,10918147.7925582,10507820.7138076,4316523.62939111,9613838.36240039,189415324.479469,7089893.33389188,9730364.79022843,11366237.5082877,772767.574736335,2896358.85088826,578660.898927696,1507150.61751381,228279.349647712,189717.213048929,1497419.59669065,125730.889484606,4189565.78933055,627644.112147313,604702.127156986,4854220.59031948,1475286.69792162,3385848.97717188,302612.534670989,3211280.9575999,9460533.12636758,1659905.13656217,523979.805659355,204438.257477264,932716.641199123,218096.406956778,34312879.8614113,182124.372937256,607870.813348183,1225017.92079833,235734.563247838,739262.133336752,599360.195721627,44526.8330283099,433397.163015783,289235.273371159,24857,1794,10837,10385,25760,17292,851
"b7","b-New",32109910.8652444,40282937.4435801,8116423.6214648,187873.684208722,7053106.32717533,147199.956321027,10752722.2619871,8512010.59133374,3366581.07420003,7723488.06545786,170955765.810005,7196568.62071646,9535461.67343714,11682869.1128011,1587988.52961478,2929411.50700258,538137.427555825,1145773.19724258,249789.216324318,181073.76971326,2076120.83141752,124247.590760896,4712760.13060544,531309.226937148,610070.142861909,3225920.23366867,1402842.16210226,3555630.65217433,372162.206021731,2564200.1528413,10716273.6607238,1778957.69936633,553985.052054694,166548.270390198,734880.417075816,190303.952369715,27392609.8581551,181719.918314543,865753.615102525,981238.557027441,218246.569775521,753313.2328567,516839.992787161,63194.4404470082,388694.796018629,240413.122118956,26170,2055,18356,11560,44089,22591,992
"c1","C-Old",33866446.596071,42137274.9085307,7681441.76509403,168537.048166445,5339044.01215675,131586.917345614,10267396.8810421,8556890.39628802,3035473.18642429,7847733.62416761,168927173.067464,6688890.80090392,9379637.35174427,11402203.0968898,952839.139149583,2697952.74789804,504653.186732263,1188696.17910602,229526.515375645,148238.917310622,2544438.61908441,137725.575235108,4577663.3898912,482338.241595287,699149.011863267,4070940.44644213,1357395.11693444,2692412.70131378,327114.868798267,2577932.11817194,10307199.4923928,1980319.37739175,484777.068442825,187151.849010487,744604.23097216,185474.958792062,26781109.0231247,176930.749988003,557782.349357074,1049942.83070234,227761.817804084,751726.877254442,520651.778653059,51347.0609601481,413665.623077036,230741.943526167,11174,1376,11255,5647,41440,11250,804
"c2","C-Old",26593163.895963,34111746.5146517,6356348.56448581,131355.083754917,3785136.60234291,94736.2164139571,8099969.13005683,6562802.9114159,2280426.47988485,5883706.73333482,126171981.548225,5335405.38018292,7331089.48093716,9612861.51341754,1088356.46636811,2105402.72728572,419357.040395788,848006.58158213,180210.279614245,91598.6463538283,1904062.70845874,109826.047534728,3717123.74590351,363357.298927861,563251.529350062,2458820.91144263,1044756.06163739,1852216.20426941,234791.465201138,1985102.20638401,8856103.42364985,1609747.65482758,340682.70362823,147248.276056919,570664.158990847,146606.856415228,20631824.3051958,140869.967362169,499879.225848154,952201.796102743,176170.579267254,564008.234192849,388518.901962864,38791.1449025734,328186.312614219,189999.421185176,13962,1450,9693,4847,33397,13277,765
"c3","C-Old",28113321.6391953,37171924.453996,6592056.93152562,139676.73808613,4366090.19672133,113648.106512411,8785832.10524269,7126785.91829142,2543608.34310694,6483307.07485778,132625540.466988,6247611.63317523,8050815.80182039,10244127.5834488,1353125.02569073,2330819.76132331,459548.52791586,963648.627662824,194014.337281793,105703.284023835,1768587.30931658,112070.372572588,3642400.19257035,404809.569333212,538641.799601107,2479938.42107822,1145705.06181596,2115941.07053248,263079.604968045,2212855.68586444,9329861.65084611,1631211.88880988,379095.871254324,157398.403283238,627030.341134506,167214.607917409,22648263.0649613,136052.10013208,605690.818134639,890226.396633337,184133.276966423,618767.647885144,391271.007352212,40183.9554861729,352779.417013151,209385.103455284,7984,1214,10095,3311,36306,11250,933
"c4","c-New",26509442.4115028,39191241.6269555,6305320.98125372,170252.552423956,6179018.41226909,119433.883605302,10071855.5124163,8047940.70886827,3120943.39932732,7161942.80777604,152472806.08284,6904208.92833102,8884182.1122067,11501192.1221094,1110847.92308313,2725117.47582177,502510.313091017,1046316.88086946,241446.500126564,150659.875048056,1666207.51859804,129855.321184102,4687663.12992244,475684.001159369,582207.509084667,2938313.88760513,1263370.13702382,2863802.69119226,330365.375330222,2463294.78305239,10921474.922842,1821707.16095244,479357.631273291,171111.988933129,669249.592120141,182038.24833124,25566215.3830622,155785.971498199,660366.835400589,875518.012568907,214369.779460453,707202.365146982,433547.584270806,49589.7250615089,374402.986412526,232939.680218608,9754,1663,10101,5987,23826,12301,856
"c5","c-New",32057323.0653753,42357263.9844784,7297930.09807385,171992.584177214,5680612.65757614,124438.372137576,10551965.545437,8431845.83187573,3035979.42039722,7621786.82929376,180638344.143266,7359395.29976758,9566292.24335555,12223347.0513816,705328.709034961,2778954.63753836,510431.79149547,1109596.87314413,223547.888364609,145531.604187908,2025097.79268176,141915.074771569,4926828.35914321,507854.270560897,633051.57901563,3031534.98466951,1393554.5035824,2688351.63695628,327412.782858446,2593178.1418726,11561306.8908141,1886949.132682,477481.837930285,176065.528587384,747079.585397557,188552.948783678,27202216.3793934,183758.246292473,557557.961378689,959769.637497177,225738.354114658,739776.000257953,480135.518710268,44783.67647548,445434.515635771,233389.489903963,13221,1323,13734,5516,30668,10150,671
"c6","c-New",31751756.1777555,43468797.8132498,8269921.73619935,165447.534825588,4908179.7011834,144528.752551825,10454801.5601346,9317520.49522556,3356218.62906247,8435206.56713803,167112360.041746,7305540.00771964,9621027.61663834,12156693.962306,610724.544026094,2855647.61614068,584523.394955188,1226553.45554083,241344.793651223,124565.31665677,1655777.55860742,145361.1159107,4496122.57158698,542779.693519866,623225.950113766,3725539.07939894,1390792.23694835,2360661.57089149,276094.207167814,2872779.60473663,10367962.8577983,1958109.90197273,439275.134686992,183379.729581625,842645.150291782,222270.465242872,29888343.2268337,184459.433574809,450557.410479101,1017027.87194222,228900.770694402,719291.679263904,558672.157298924,39547.0921836017,439354.199094083,256041.763677042,10324,1171,10089,5630,26431,12430,633
"c7","c-New",29595008.2861379,36214254.0087857,7456648.33735216,165506.586408579,5990788.08690472,141109.125139442,9243532.11926718,8291236.44649174,3285245.92140128,7780787.18494273,149971286.574779,7043442.79106528,8496207.12018106,10308466.0706801,1315719.85831777,2570522.56821272,505495.846471738,1110591.51232387,225996.791242214,146057.702880363,1502462.34249203,129767.244383843,4628764.40386554,526628.173395075,552451.745179416,4103599.89707622,1266598.29824595,2766316.56965942,316757.06671584,2646218.83056674,9414964.24067218,1620139.21593392,478870.27654219,168051.142714516,727462.381473208,185059.276127002,27013231.7291156,164464.008795434,691958.017462561,974742.012807215,207161.17064235,718238.681320293,480951.032284817,45896.663682539,388737.529765675,228538.316543187,14526,1386,8601,5115,30285,13356,707
